Textos_espanol,sdg
"El único propósito de esta acción era evitar la venta de versiones genéricas y de importaciones paralelas de la formulación en cápsulas 499 El EGC confirmó una decisión anterior de la Comisión de la UE, considerando que el retiro de la aprobación regulatoria para la versión en cápsulas del medicamento constituía una abuso de la posición dominante de la empresa en el mercado de tratamientos antiulcerosos. El EGC enfatizó que, si bien una empresa dominante no tiene la obligación de proteger los intereses de los competidores, esto no puede “justificar el recurso a prácticas que quedan fuera del alcance de la competencia en cuanto al fondo”. La retirada no habría sido abusiva si hubiera existido alguna razón objetiva por la que dicha retirada fuera necesaria para mejorar la competitividad de los propios productos de la empresa.",3
"No se muestran los resultados de Yakarta (Indonesia) ya que la evaluación se administró exclusivamente en formato de papel y lápiz. El primero es la proporción de adultos que tienen suficiente familiaridad con las computadoras para usarlas para realizar tareas de procesamiento de información. El segundo es la competencia de los adultos con al menos algunas habilidades de TIC para resolver los tipos de problemas que se encuentran comúnmente en sus roles como trabajadores, ciudadanos y consumidores en un mundo rico en tecnología. Tres grupos separados de adultos caen en esta categoría: adultos sin experiencia en computación, aquellos que reprobaron la prueba ""Básico de TIC"" y, por lo tanto, no tenían las habilidades informáticas básicas necesarias para la evaluación basada en computadora, y adultos que optaron por tomar el examen. basada en la versión de la evaluación a pesar de que informaron tener experiencia previa con la computadora. Esto osciló entre menos del 2 % en Suecia (1,6 %) y Noruega (1,6 %) a más de uno de cada tres adultos en Hirkey (35,6 %) y más de uno en cinco adultos en Italia (24,4 %) y la República Eslovaca (22,0 %). Otro 4,7 % de los adultos no tenía las habilidades básicas evaluadas por la prueba básica de TIC, como la capacidad de usar un mouse o desplazarse una página web.",4
"Desde abril de 2013, NHS England ha encargado servicios de salud para todos los presos en Inglaterra. Luego de dos desafíos bajo la Ley de Derechos Humanos en 2006 y 2010, los reclusos tienen derecho a recibir los mismos tratamientos de atención médica del NHS que los no reclusos, lo que se conoce como ""equivalencia de atención"". La Ley de Salud y Atención Social de 2012 abolió los PCT y transfirió los presupuestos de salud de los delincuentes al NHS de Inglaterra desde principios de abril de 2013.",3
"A fines de la década de 1990, Ontario inauguró la ""Reforma de atención primaria"" caracterizada por la introducción secuencial de un ""menú"" de modelos de pago que reemplazan el pago tradicional de FFS para los médicos de familia. Esta reforma se debió, en parte, a la preocupación por la escasez de médicos de familia y por el acceso a los médicos durante las noches y los fines de semana. Mejorar la calidad de la atención médica, por ejemplo, aumentando el apoyo del sistema de pago para la atención médica preventiva y el manejo de enfermedades crónicas, también fue una meta importante. Se consideró que el sistema de pago de FFS contribuía a un enfoque excesivo en la atención aguda basada en el volumen y carecía de incentivos para alentar tanto a médicos como a equipos interprofesionales (Kantarevic y Kralj, 2015). A los médicos se les dio a elegir el modelo de pago. Estos modelos recientemente introducidos requerían o fomentaban la inscripción de pacientes (a veces llamada lista) con los médicos de cabecera.",3
"Dado el desempeño desigual en las cuatro áreas prioritarias del Plan Estratégico 2008-2013 en la promoción de resultados de desarrollo de género, el PNUD debe asegurarse de que las evaluaciones futuras presten atención específica al progreso, la eficacia y la calidad de los resultados de desarrollo de género en las siete áreas de resultados del actual Plan estratégico. La evaluación puede basarse en los datos limitados de los informes del Marco integrado de resultados y recursos, que resumen el progreso y el desempeño del PNUD en 2014 e incluyen un análisis cualitativo más profundo de la contribución del PNUD a los resultados de género sobre el terreno. Las lecciones preliminares del proceso de certificación del Sello de Igualdad de Género, que se completó en 28 oficinas de país (y se implementó sin certificación en otros), también podría ser una rica fuente de información.",5
"Cada seis meses, las unidades se reúnen entre sí para garantizar la coordinación, y anualmente se elabora un informe sobre el trabajo de las unidades. Las asociaciones comunitarias, la Oficina de Asuntos de la Familia del Ministerio de Seguridad Social, las unidades de igualdad de oportunidades de los ministerios, los comitÃ©s de la mujer de las asociaciones profesionales y los sindicatos tramitan las quejas relacionadas con la discriminaciÃ³n de la mujer. La Oficina del Defensor del Pueblo sirve de vÃnculo entre el NCW y las mujeres egipcias que han sufrido algÃºn tipo de discriminaciÃ³n o desigualdad de oportunidades, identificando a travÃ©s de la experiencia de primera mano los problemas reales a los que se enfrentan las mujeres. LÃbano cuenta con una comisiÃ³n legislativa que aborda la igualdad de gÃ©nero, asÃ como los derechos sociales y los derechos de la infancia. ",5
"Se pone gran énfasis en la atención primaria y se requiere que las personas se registren con un médico general (GP) (o un pediatra hasta la edad de 14 años). Los servicios de atención primaria en los centros de salud están garantizados las 24 horas del día, los 7 días de la semana a través del servicio fuera de horario de atención primaria (llamado guardia medico). Además, en los últimos años se han proporcionado incentivos financieros para que los médicos de cabecera adopten varios modelos de práctica grupal con otros médicos de cabecera y/u otros profesionales de la salud, siguiendo un enfoque multidisciplinario y multiprofesional.",3
"En la mayor parte de este documento, las comparaciones entre la formación profesional y la académica se realizan al mismo nivel educativo, por lo que los resultados del tratamiento 1 (3) se comparan con los del tratamiento 2 (4). Dependiendo de la pregunta de investigación que se esté estudiando, es posible realizar otras comparaciones y obtener una imagen diferente de la que se presenta aquí. En este documento, suponemos que la asignación de los individuos a los tratamientos enumerados anteriormente se explica por la educación de los padres, el país de nacimiento, el número de libros en la casa a los 16 años, así como la proporción de alumnos por profesor en la escuela primaria y la proporción de residentes en zonas rurales a la edad de selección. En el informe se analiza la verosimilitud de esta hipótesis en el contexto de los datos utilizados.",4
"Esto normalmente se refiere a la equidad de los resultados educativos. Una forma de ver esto es comparar el rendimiento de los estudiantes en diferentes escuelas del sistema educativo. Por ejemplo, en la escala de competencia lectora de PISA de 2009, la variación del desempeño entre las escuelas en Finlandia fue del 7,7 % en comparación con la variación promedio de la OCDE del 42 % (OCDE, 2010a).",4
"La meta 8.3 de los ODS insta a la comunidad mundial a ""promover políticas orientadas al desarrollo que apoyen las actividades productivas, la creación de empleo decente, el espíritu empresarial, la creatividad y la innovación, y fomenten la formalización y el crecimiento de las micro, pequeñas y medianas empresas, incluso a través del acceso a servicios financieros"". La mayoría de las empresas propiedad de mujeres y operadas por ellas son en su mayoría microempresas o pequeñas empresas. Pero, a diferencia de sus homólogos masculinos, las propietarias de empresas deben enfrentarse a un conjunto único y dispar de desafíos además de los desafíos que enfrentan las pequeñas empresas en general.",5
"Incluye disposiciones sobre desarrollo profesional para docentes en aritmética y alfabetización, materiales de orientación para buenas prácticas y programas escolares para la gestión de clases. Para aumentar la motivación de los alumnos y reducir las diferencias de motivación entre chicos y chicas y entre alumnos de diferentes entornos sociales, el plan de acción introduce métodos de instrucción más prácticos y variados en la educación secundaria inferior, así como una nueva asignatura con un enfoque práctico, el Trabajo Curso de vida (Arbeidslivsfagef). Esta reforma se basa en la Reforma de Promoción del Conocimiento (2006), una importante reforma curricular de todo el sistema (ver Destacado 1). El Programa de Competencias Básicas en la Vida Laboral (2006) está dirigido a adultos que carecen de habilidades básicas.",4
"La segunda opción consiste en predecir una macrovariable de diferencias de género utilizando únicamente factores xt a nivel individual para estimar la ecuación 2 para cada país por separado. Permite la variación específica de cada país en la brecha de felicidad de género, considerada como un efecto social que podría variar según el país y su definición de los roles de género. Supone que la brecha de felicidad de género está relacionada con la construcción sociológica y no con un efecto biológico asociado a las diferencias de sexo que habría implicado una diferencia similar en todos los países. En particular, la recopilación de información sobre la discriminación de género en las instituciones sociales es reciente, y como tal el SIGI sólo está disponible en una oleada, lo que limita nuestro estudio empírico a un análisis entre países.",5
"Algunas de estas colaboraciones regionales están mucho más desarrolladas que otras. Sin embargo, los propios estados deben tomar la iniciativa en la planificación, financiación e implementación de la gama de cambios de política e iniciativas descritas en este capítulo. En 2003 se introdujo la educación primaria gratuita y obligatoria y en 2008 se abolieron todas las tasas escolares.",4
"Es una estrategia para hacer que las preocupaciones y experiencias de las mujeres, asÃ como las de los hombres, sean una dimensiÃ³n integral del diseÃ±o, implementaciÃ³n, monitoreo y evaluaciÃ³n de polÃticas y programas en todas las esferas polÃticas, econÃ³micas y sociales, de modo que las mujeres y los hombres se beneficien por igual y no se perpetÃºe la desigualdad. El objetivo Ãºltimo es lograr la igualdad de gÃ©nero"" ( Asamblea General de las Naciones Unidas, 1997, cap. I, secciÃ³n B). AdemÃ¡s, el apartado 203(b) recomienda que los mecanismos nacionales para la mujer ""tengan mandatos y autoridad claramente definidos; los elementos fundamentales serÃan recursos adecuados y la capacidad y competencia para influir en las polÃticas y formular y revisar la legislaciÃ³n"". Muchas de estas instituciones se dedican en realidad a toda una serie de actividades de investigaciÃ³n y operativas, como se describe detalladamente a continuaciÃ³n.",5
"Consulte el Anexo 3 para ver las notas en www.oecd.ory/education/education-at-a-plance-19991487.html. Es crucial brindar y garantizar el acceso a oportunidades de aprendizaje organizado para adultos más allá de la educación formal inicial, especialmente para los trabajadores que necesitan adaptarse a los cambios a lo largo de sus carreras y que tienen dificultades para lograr altos resultados en el mercado laboral (OCDE, 2013). La integración social requiere que las personas tengan las habilidades y conocimientos básicos necesarios para ejercer sus derechos y responsabilidades como ciudadanos y disfrutar de los beneficios de la vida en comunidad.",4
"Todas las madres viven y trabajan localmente, dejan a sus hijos por la mañana y los recogen en cuanto terminan de trabajar. A los niños se les da el almuerzo y pasan la mayor parte del día viendo la televisión infantil y/o jugando entre ellos en el pequeño espacio. Es principalmente Rubka quien cuida a todos los niños además de hacer el trabajo doméstico, pero este acuerdo funciona para ella porque le permite cuidar también de su hijo Yafit de tres años (lo que no habría podido hacer en un trabajo â€œregularâ€ como trabajadora domÃ©stica).",5
"Estos incluyen programas especializados en preparación para la educación terciaria y programas que pueden resultar o conducir a la obtención de una cualificación VET. El acceso a la universidad en Australia se realiza a través de un examen y la provisión de un puntaje de ingreso clasificado, o mediante una calificación de ingreso comparativa. Los temas de Year 12 australianos tienen una amplitud y profundidad significativas en su cobertura, y varían según los estados y territorios.",4
"No obstante, muestran que las empresas propiedad de mujeres contribuyen sustancialmente a la creación de empleo. En Estados Unidos, las mujeres eran propietarias de 7,8 millones de empresas en 2007 y empleaban a 7,6 millones de trabajadores (Departamento de Comercio de EE.UU., 2010). En Italia, en 2010, eran propietarias o controlaban mayoritariamente cerca de una cuarta parte de todas las empresas, casi 1,3 millones (Cámara de Comercio Italiana, 2010).",5
"Además, deben tenerse en cuenta las consideraciones éticas del aumento del uso de las TIC en las escuelas. El IUFM (Institut Universitaire de Formation des Maitres - Instituto Académico de Formación del Profesorado), que imparte formación tanto inicial como continua, y el CRDP (Centro Regional de Documentación Educativa) son las empresas públicas encargadas de ello. ( Más precisamente, en el campo de la formación inicial del profesorado, tiene como objetivo promover un certificado de TIC en las instituciones de formación del profesorado: el C2i Nivel 2.",4
"A menudo tampoco pueden dedicarse a actividades económicas productivas y, junto con sus hijos dependientes, ancianos o enfermos a su cargo, sufren posteriormente una pobreza abyecta y privaciones (Capítulo 3). Marginadas por su comunidad, algunas mujeres apoyan la poligamia con la esperanza, a menudo vana, de que les ofrezca protección a ellas y a sus hijos (Capítulo 7). Las prácticas de contratación no suelen llegar a grupos de candidatas cualificadas e interesadas, como demuestran los índices sorprendentemente bajos de participación femenina en muchas de las instituciones del sector de la seguridad, incluidos los servicios policiales y las fuerzas armadas. Incluso cuando las mujeres consiguen acceder, se enfrentan a dificultades considerables para hacer frente a la discriminaciÃ³n, el acoso y la violencia, todo lo cual supone barreras formidables para la retenciÃ³n y el ascenso de las mujeres.",5
"Posteriormente, en la sección tres se revisan los objetivos e instrumentos de los sistemas alternativos de pensiones y las brechas de género que se encuentran actualmente tanto en la cobertura previsional como en la incidencia de la pobreza en la vejez. Sobre esa base, la sección cuatro identifica las fuentes clave de la desigualdad de género en los derechos de pensión en un contexto de mercados laborales de género y la sección cinco trata las brechas de género en los sistemas de pensiones de contribución definida. Luego, la sexta sección aborda brevemente las principales direcciones de reforma después de la crisis global y su probable impacto en las pensiones de las mujeres. La sección siete está dedicada a las pensiones no contributivas, revisando el desarrollo de estos beneficios en todo el mundo y el potencial que tienen para abordar las brechas existentes en el acceso a la protección de la vejez. La sección ocho analiza algunos de los componentes más relevantes integrados en los sistemas de pensiones contributivos para proteger a las mujeres en la familia, incluidos los derechos de pensión para viudas, divorciadas y cuidadoras. Finalmente, la sección nueve resume los principales hallazgos y concluye.",5
"Agüero, Marks y Raykar (2011) documentan una importante penalización salarial por maternidad en una amplia muestra de mujeres de 21 países en desarrollo. La brecha es más amplia en Egipto e India, donde aproximadamente el 60 % de las mujeres en edad de trabajar identifican el trabajo doméstico como su principal actividad, seguidas por Hirkey y Túnez, donde la cifra es de alrededor del 50 % (el promedio para los países europeos de la OCDE y los Estados Unidos es solo el 12%).17 Estos datos subrayan las profundas disparidades en la división de las responsabilidades del hogar entre hombres y mujeres en todo el mundo emergente, pero brindan poca información sobre la medida en que la participación de las mujeres en el empleo remunerado se ve limitada por sus responsabilidades familiares. . Al permitir un desglose detallado del tiempo de las personas, este tipo de encuesta brinda una imagen más matizada de los roles de género.",5
"Los efectos de estas políticas sobre las tasas de mortalidad por cáncer de pulmón aún están por verse en las próximas décadas. En 2012-14, el gobierno estableció varios programas a pequeña escala para combatir el consumo excesivo de alcohol entre los adultos jóvenes a través de actividades de sensibilización que forman parte del Plan de Acción Nacional 2015-2019 en la lucha contra las drogas y las adicciones relacionadas. Actualmente se está elaborando una estrategia nacional sobre el alcohol.",3
